text,entity,sentiment,konu,severity,bilet,musteri_hizmetleri,odeme,uygulama,passolig,passolig kart,diger,aksiyon,label
passo uzerinden bir konsere guzel bir miktarda para verip iki adet bilet aldim fakat sonrasinda gelisen bir sehir disi durumundan dolayi biletleri iade etmek istedim ustelik ben alali bir kac gun oldu konsere aydan fazla bir sure var iade edilmesini istedigimde musteri hizmetleri,passo,olumsuz,cagri merkezi yetkinlik,1,0,1,0,0,0,0,1,1,18
passo cesme acikhava gosteri bileti bkm in gosterisi icin bilet aldim adedi tl lik kisimda bir bilet tl lik kisimda buldum tl ye aldigimiz bilet sandalyedeydi ayrica onune bir sira sandalye dizmisler sahne gorunmuyordu birakin sahneyi ic ice oturduk,passo,olumsuz,diger,1,1,0,0,0,0,0,1,1,13
eylul anyma etkinligi icin biletler ciktiktan dakika sonra bilet aldim biletlerin donem fiyatlari uzerinden satis yapildi fiyatlandirildi ancak baska bir arkadasim benden saat gec almasina ragmen donem fiyatlari uzerinden bilet almis durum icin cagri merkezini aradigimda,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo dan aldigim eylul tan tasci konser biletine isim yanlis yazmisim bilet ustundeki ismi duzelttirmek icin musteri temsilcisini aradigimda hicbir sekilde yardimci olmuyor referans numarali konser biletimin ustunde bir isim degisikligi yapmak istiyorum cok onemli,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo bilet aldim email mesaj olarak bilgi gelmedi karttan para gitti onaylandi akbank para gitti dedi lutfen halledilsin biletimiz uzerine kategori koltuk hadise konseri bornova cozulsun lutfen,passo,olumsuz,cagri merkezi yetkinlik,1,0,1,0,0,0,0,0,1,2
tarihli hayko cepkin antalya konseri icin tarihinde tl bedelli adet bilet satin aldim bugun ayni blok sira biletin al ode kampanyasi liraya satin alinabildigini gordum ucret iadesini kabul etmediler musteri temsilcisi yetkisinin olmadigini soyluyor,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
passo uzerinden aldigim iki tane konser biletini nisanlimla beraber bulasici gribal bir hastalik gecirdigimiz icin iptal etmek istiyorum uygulama uzerinden iptal edilmiyor passo etkinlik musteri hizmetleri ni aradim duzgun bir donus alamadim hastalik nedeniyle gidemeyecegim bir konser icin,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
agustos ta datca amfi tiyatro konseri icin bilet aldik passo dan referans kodlu bilet iptal edilmis ancak bilgilendirme saglikli yapilmamis kapida yuzlerce insan vardi mesaj mail ucret iadesi yapildi saat musteri hizmetleri servisi kapaliydi pa,passo,olumsuz,cagri merkezi yetkinlik,1,0,1,0,0,0,0,0,1,2
merhabalar agustos altinoluk amfi tiyatro daki konserinin iptali ilgili sikayetim once passo uygulamasindan aylar once konserine gittim orada bir sikinti yasamayinca konserinde oyle olur sandim magduriyetin alasini yasadim konseri kons,passo,olumsuz,genel,2,0,0,0,0,0,0,1,1,7
passo dan agustos tarihindeki bodrum antik tiyatrodaki tan tasci konseri icin adet bilet alindi bunu degistirmek gelemeyecek kisi icin iade istedik musteri temsilcisi iletisim kurduk mail atmamiz gerektigini soyledi mail attik ancak etkinlik kurallari geregi biletin iptal edile,passo,olumsuz,cagri merkezi yetkinlik,1,1,1,0,0,0,0,0,1,8
