text,entity,sentiment,konu,severity,bilet,musteri_hizmetleri,odeme,uygulama,passolig,passolig kart,diger,aksiyon,sentiment_confidence,response
nasilsin,,,,,,,,,,,,,,"Teşekkür ederim, iyiyim. Sizin için ne yapabilirim?"
deneme,No entity found.,notr,diger,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.997891366481781,Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Geri bildiriminiz doğrultusunda süreçlerinizi dikkatle takip ettiğinizi öneriyoruz. Belirtilen şikayet konusu: diger. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır.
nasilsn,No entity found.,notr,diger,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9094533920288086,Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Geri bildiriminiz doğrultusunda süreçlerinizi dikkatle takip ettiğinizi öneriyoruz. Belirtilen şikayet konusu: diger. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır.
"Passolig kartımla ilgili bir problem var, destek alabilir miyim?",passolig,notr,diger,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9673691987991332,Sorununuz şu an için acil bir müdahale gerektirmemektedir. Ancak önerilerimiz doğrultusunda işlemlerinizi gözden geçirmenizi tavsiye ederiz. Geri bildiriminiz doğrultusunda süreçlerinizi dikkatle takip ettiğinizi öneriyoruz. Belirtilen şikayet konusu: diger. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır. passolig ile ilgili işlemler başlatılmıştır. Tarafınıza bilgilendirme yapılacaktır.
Geçtiğimiz ay yaptığım transferle ilgili sorun yaşıyorum,No entity found.,olumsuz,genel,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7421136498451233,Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Belirtilen şikayet konusu: genel. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır.
İptal ettiğim biletin ücretini ne zaman geri alabilirim?,No entity found.,olumsuz,iptal,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9908122420310974,"Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Bilet işlemlerinizde bir aksaklık olduğunu fark ettik. Lütfen bilet bilgilerinizin doğru olduğunu ve geçerli bir işlem gerçekleştirdiğinizi kontrol edin. Eğer sorununuz devam ederse, bilet işlemlerinizi tekrar gözden geçirmenizi öneriyoruz. Belirtilen şikayet konusu: iptal. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır."
"Fatura bilgilerim hatalı görünüyor, düzeltilmesi lazım.",No entity found.,olumsuz,cagri merkezi yetkinlik,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9499151706695556,Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Belirtilen şikayet konusu: cagri merkezi yetkinlik. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır.
"Ödemem gerçekleşmedi, bunun sebebini öğrenmek istiyorum.",No entity found.,olumsuz,diger,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.940704584121704,Durumunuz aciliyet arz etmektedir. Ekiplerimiz en kısa sürede gerekli adımları atacaktır. Yaşamış olduğunuz aksaklık için özür dileriz. Sorununuzu çözmek adına aşağıdaki adımları izleyebilirsiniz: Yaşadığınız diğer sorunlar hakkında size en kısa sürede yardımcı olacağız. Daha fazla bilgi veya destek almak için lütfen müşteri hizmetlerimizle iletişime geçin. Belirtilen şikayet konusu: diger. Gerekli departmanlarımız tarafından en kısa sürede çözüme kavuşturulacaktır.
merhaba,,,,,,,,,,,,,,Merhaba! Size nasıl yardımcı olabilirim?
nasilsin,,,,,,,,,,,,,,"Teşekkür ederim, iyiyim. Sizin için ne yapabilirim?"
adin ne,,,,,,,,,,,,,,"Ben PassoAssist, Ali Rıza Ercan tarafından geliştirildim. Size nasıl yardımcı olabilirim?"
